WKT,WKT,rand_point_id
"MULTIPOLYGON (((-752746271.777362 -98228342.5820279,-775069415.506877 -90663605.7455622,-780010768.957243 -81020052.9660963,-772359552.780223 -55687119.9040643,-736183205.356927 -49093051.623882,-727627066.14211 -50745989.7249289,-719396094.939425 -67910814.8072551,-720029032.756828 -92799136.4686831,-752746271.777362 -98228342.5820279)))","POLYGON ((-752746272.612965 -98228352.8574415,-775069422.55722 -90663613.9149612,-780010779.69643 -81020053.9363411,-772359560.586071 -55687111.1621157,-736183205.303306 -49093041.4493434,-727627059.302093 -50745980.8614363,-719396084.881444 -67910812.6544879,-720029022.970082 -92799144.9813892,-752746272.612965 -98228352.8574415))","35"
"MULTIPOLYGON (((-178664062.110192 -94780667.7869916,-180448587.766472 -92835477.4080555,-197343375.76099 -61560410.7631895,-180804054.601753 -57049753.0919444,-162060428.184309 -89847708.5248284,-178664062.110192 -94780667.7869916)))","POLYGON ((-178664065.25369 -94780679.1529424,-180448595.974667 -92835483.2533241,-197343390.547644 -61560404.4306335,-180804049.761878 -57049741.4067772,-162060413.241818 -89847714.5174105,-178664065.25369 -94780679.1529424))","374"
"MULTIPOLYGON (((-328679258.091714 -96924666.2496179,-333050138.882951 -90699292.3337587,-346330524.850885 -46372108.2654023,-341398209.168088 -43698579.6358146,-326210796.174701 -43363974.8362848,-308431756.862736 -87129336.3178858,-328679258.091714 -96924666.2496179)))","POLYGON ((-328679261.390388 -96924678.9541973,-333050147.997572 -90699296.7547797,-346330536.763326 -46372103.3478799,-341398211.806788 -43698569.691523,-326210789.504101 -43363964.6868933,-308431744.070387 -87129341.237955,-328679261.390388 -96924678.9541973))","464"
"MULTIPOLYGON (((1770742.72496145 -82213001.0780506,-9506644.94703464 -76737606.7418558,-15573981.4716005 -66889660.0904882,2351517.23491297 -54749348.8767831,28819180.8765244 -72791532.1845325,1770742.72496145 -82213001.0780506)))","POLYGON ((1770742.09286046 -82213011.8874898,-9506651.93372369 -76737614.4660171,-15573995.0093718 -66889657.181531,2351517.25312638 -54749336.7868332,28819202.9075067 -72791535.1000026,1770742.09286046 -82213011.8874898))","215"
"MULTIPOLYGON (((-86520527.7717762 -79186485.7877714,-90098244.5168727 -70087640.7834748,-70909059.5346489 -43464751.282242,-53374463.6999525 -50606106.5493983,-60357344.6992079 -69962173.1003623,-86520527.7717762 -79186485.7877714)))","POLYGON ((-86520533.5471241 -79186498.4272994,-90098255.820416 -70087639.3637029,-70909063.0476484 -43464739.0539452,-53374451.0346727 -50606100.9100666,-60357336.9018528 -69962180.9545836,-86520533.5471241 -79186498.4272994))","506"
"MULTIPOLYGON (((-369829715.486239 -80699682.1410633,-397957017.711132 -77282746.6640067,-394132395.617185 -51008661.9949586,-369861492.52334 -55680138.998681,-366614623.667519 -74842373.1693187,-369829715.486239 -80699682.1410633)))","POLYGON ((-369829709.975645 -80699692.8840144,-397957029.081815 -77282755.3562017,-394132404.005186 -51008650.1969571,-369861483.822559 -55680130.489797,-366614613.226624 -74842374.930164,-369829709.975645 -80699692.8840144))","88"
"MULTIPOLYGON (((-333050164.01773 -90699278.1265469,-366614604.238586 -74842368.1165989,-369861472.714074 -55680136.1905998,-350393206.637921 -46163838.3096048,-346330544.318598 -46372112.9736868,-333050164.01773 -90699278.1265469)))","POLYGON ((-333050147.997572 -90699296.7547797,-366614613.226624 -74842374.930164,-369861483.822559 -55680130.489797,-350393208.707291 -46163828.1903852,-346330536.763326 -46372103.3478799,-333050147.997572 -90699296.7547797))","966"
"MULTIPOLYGON (((-473514085.707712 -106731560.951101,-514490843.689607 -93395720.8314513,-515209426.562381 -82347749.8864841,-475526662.503052 -78565453.554078,-473514085.707712 -106731560.951101)))","POLYGON ((-473514074.67421 -106731575.058201,-514490853.228659 -93395728.2432361,-515209437.171112 -82347740.8523171,-475526653.258295 -78565442.6276089,-473514074.67421 -106731575.058201))","989"
"MULTIPOLYGON (((-401323653.636517 -87459851.8758492,-434117301.706947 -73341039.1584327,-404561576.066068 -39668059.2622436,-394132414.58619 -51008653.4642762,-397957038.851215 -77282753.0480255,-401323653.636517 -87459851.8758492)))","POLYGON ((-401323647.56927 -87459865.375437,-434117318.298852 -73341042.9024629,-404561576.2395 -39668044.3006291,-394132404.005186 -51008650.1969571,-397957029.081815 -77282755.3562017,-401323647.56927 -87459865.375437))","818"
"MULTIPOLYGON (((-1095608807.01013 -84226903.9630897,-1106789861.97894 -77509006.4486024,-1118819556.64262 -53160642.1779941,-1118844531.14004 -52395221.4149055,-1116604596.77441 -50599201.2720923,-1100698050.38234 -47202769.0630564,-1097217573.74997 -47757231.1132784,-1072010862.22745 -69353800.2348802,-1095608807.01013 -84226903.9630897)))","POLYGON ((-1095608806.88477 -84226915.7045778,-1106789869.64454 -77509013.5090623,-1118819566.56672 -53160644.667186,-1118844541.29783 -52395216.7419931,-1116604601.1807 -50599191.987519,-1100698050.64875 -47202758.8945186,-1097217569.38806 -47757221.6820605,-1072010845.4231 -69353801.4640804,-1095608806.88477 -84226915.7045778))","272"
"MULTIPOLYGON (((-180448622.223712 -92835455.7019736,-215389101.871857 -71715400.2239118,-203952983.15269 -59127311.6568056,-201799621.34254 -59200940.3660821,-197343397.905475 -61560411.8500658,-180448622.223712 -92835455.7019736)))","POLYGON ((-180448595.974667 -92835483.2533241,-215389117.445721 -71715402.4950668,-203952987.439881 -59127301.5043721,-201799618.698818 -59200930.4506335,-197343390.547644 -61560404.4306335,-180448595.974667 -92835483.2533241))","267"
"MULTIPOLYGON (((-578968952.052664 -87994838.6537464,-584852933.001562 -86801656.487275,-625003896.345255 -73328489.0620379,-606588788.075944 -49806840.0403798,-598491076.052082 -49256020.6343915,-565679913.878973 -69565618.4391998,-577416795.390772 -87388314.8015398,-578968952.052664 -87994838.6537464)))","POLYGON ((-578968951.154965 -87994849.0393232,-584852935.595817 -86801666.1647366,-625003912.942989 -73328494.0404536,-606588793.20196 -49806830.3659517,-598491073.522852 -49256010.4392412,-565679899.870654 -69565615.3494263,-577416788.788487 -87388322.9579807,-578968951.154965 -87994849.0393232))","660"
"MULTIPOLYGON (((-998987340.514548 -79306130.6397331,-1023666814.61027 -76678141.5748235,-1027971790.64641 -72760159.029121,-1030333510.88695 -67767266.7356574,-1018482138.04193 -47734877.5457154,-995783686.72519 -51482046.4951709,-991206833.713207 -62158963.5930161,-998987340.514548 -79306130.6397331)))","POLYGON ((-998987334.392211 -79306141.3482042,-1023666818.92188 -76678151.1722377,-1027971798.84026 -72760165.0932909,-1030333522.19658 -67767266.2127848,-1018482143.16442 -47734866.5647211,-995783679.692128 -51482037.5208735,-991206822.783971 -62158963.7077426,-998987334.392211 -79306141.3482042))","425"
"MULTIPOLYGON (((-162060407.536899 -89847704.3459127,-180804039.242736 -57049739.6592986,-176945060.811473 -36978908.3298267,-145137524.321 -58705859.5128141,-160785553.835291 -89810340.0446368,-162060407.536899 -89847704.3459127)))","POLYGON ((-162060413.241818 -89847714.5174105,-180804049.761878 -57049741.4067772,-176945067.754373 -36978891.4770073,-145137511.455522 -58705856.1906134,-160785547.581897 -89810349.8656521,-162060413.241818 -89847714.5174105))","58"
"MULTIPOLYGON (((-941207034.797153 -77948664.1595755,-958058510.881883 -58723745.2812928,-942030239.36411 -53124776.9064866,-931308293.455691 -58442772.2633767,-932550778.408481 -67151608.6643488,-941207034.797153 -77948664.1595755)))","POLYGON ((-941207034.455447 -77948679.7201934,-958058528.170825 -58723740.7280766,-942030238.689906 -53124766.0784148,-931308282.534688 -58442766.517631,-932550768.895119 -67151612.7850468,-941207034.455447 -77948679.7201934))","828"
"MULTIPOLYGON (((-916947601.468771 -82791549.6456587,-932550758.290369 -67151609.2559818,-931308273.415868 -58442773.4037585,-916393979.086417 -51801689.9933943,-905154251.439812 -48431526.046185,-893776282.669544 -56667751.4912121,-916947601.468771 -82791549.6456587)))","POLYGON ((-916947601.0409 -82791564.2333539,-932550768.895119 -67151612.7850468,-931308282.534688 -58442766.517631,-916393982.570526 -51801680.5982252,-905154249.578793 -48431515.0483116,-893776267.86093 -56667749.8657769,-916947601.0409 -82791564.2333539))","317"
"MULTIPOLYGON (((-108464825.243483 -69398926.0132892,-118639060.156279 -68041440.6329912,-131314136.689261 -53546929.0018539,-116817566.076716 -46105405.632128,-96200811.5100505 -45754680.2052813,-97144013.2360023 -60593871.1315936,-108464825.243483 -69398926.0132892)))","POLYGON ((-108464822.412065 -69398936.4796848,-118639065.207635 -68041450.0476369,-131314152.641999 -53546925.9502861,-116817568.573377 -46105395.6731535,-96200800.8426287 -45754670.0223638,-97144003.54181 -60593876.2602888,-108464822.412065 -69398936.4796848))","48"
"MULTIPOLYGON (((-817705504.544314 -83403457.8866326,-819412841.455661 -83124709.5801597,-825677005.618631 -73160456.5629622,-827368643.245911 -41292625.0718353,-825543842.262844 -39591190.357593,-795733339.098586 -35481328.5680627,-777866534.201299 -44941464.6656923,-772359571.325369 -55687112.1327284,-780010787.260737 -81020044.3946577,-817705504.544314 -83403457.8866326)))","POLYGON ((-817705505.04071 -83403467.9379892,-819412847.520178 -83124718.7224373,-825677015.466903 -73160459.6865131,-827368653.479272 -41292620.9409127,-825543846.765975 -39591180.8838345,-795733337.269451 -35481318.2212986,-777866526.738396 -44941457.3019021,-772359560.586071 -55687111.1621157,-780010779.69643 -81020053.9363411,-817705505.04071 -83403467.9379892))","766"
"MULTIPOLYGON (((-228749800.119129 -76735311.6940445,-241128424.391752 -70637107.8608988,-243640913.640844 -54349221.9605297,-221349505.760522 -42114048.7921084,-213303400.459302 -43440856.3531459,-203952999.822039 -59127300.2623179,-215389123.223497 -71715393.9833652,-228749800.119129 -76735311.6940445)))","POLYGON ((-228749800.654702 -76735322.5778184,-241128433.481174 -70637114.5307059,-243640924.591588 -54349216.563818,-221349507.542935 -42114038.3631384,-213303394.248323 -43440847.242291,-203952987.439881 -59127301.5043721,-215389117.445721 -71715402.4950668,-228749800.654702 -76735322.5778184))","335"
"MULTIPOLYGON (((-860617508.609789 -86179325.6374016,-887788137.618976 -73231281.9065996,-892539398.578344 -56983398.5582952,-868967480.559662 -46299109.1862221,-855060824.889841 -66558528.5028575,-860617508.609789 -86179325.6374016)))","POLYGON ((-860617502.216507 -86179339.7615274,-887788145.960941 -73231289.0087079,-892539410.612648 -56983393.0337169,-868967477.056785 -46299096.6192076,-855060813.989528 -66558526.7125374,-860617502.216507 -86179339.7615274))","661"
"MULTIPOLYGON (((-308431737.822866 -87129330.0470993,-326210776.674458 -43363969.6987662,-297606601.821294 -29894551.2159329,-286061944.977279 -39236408.9587946,-293128866.68943 -84556252.2397244,-308431737.822866 -87129330.0470993)))","POLYGON ((-308431744.070387 -87129341.237955,-326210789.504101 -43363964.6868933,-297606600.406811 -29894539.4966444,-286061934.209234 -39236404.8083453,-293128857.919884 -84556260.9055584,-308431744.070387 -87129341.237955))","402"
"MULTIPOLYGON (((-272213884.41861 -98404484.1964941,-293128847.051041 -84556256.1086966,-286061925.507368 -39236413.9082109,-263924088.363711 -36791800.7647447,-258073138.289932 -38849938.4980138,-243640934.005851 -54349221.1277577,-241128444.191959 -70637110.6895915,-272213884.41861 -98404484.1964941)))","POLYGON ((-272213883.508684 -98404496.7923218,-293128857.919884 -84556260.9055584,-286061934.209234 -39236404.8083453,-263924087.195668 -36791790.5749755,-258073132.649166 -38849929.8815755,-243640924.591588 -54349216.563818,-241128433.481174 -70637114.5307059,-272213883.508684 -98404496.7923218))","229"
"MULTIPOLYGON (((-1067013858.9244 -71383572.1980661,-1072010840.15232 -69353792.8115629,-1097217550.42119 -47757224.7640584,-1056730282.01658 -31292200.4457232,-1055122968.85548 -38060470.5822663,-1067013858.9244 -71383572.1980661)))","POLYGON ((-1067013853.01489 -71383585.3920277,-1072010845.4231 -69353801.4640804,-1097217569.38806 -47757221.6820605,-1056730274.98152 -31292186.7894794,-1055122958.44172 -38060471.1534773,-1067013853.01489 -71383585.3920277))","159"
"MULTIPOLYGON (((-1066644368.28696 -71858681.5342946,-1067013841.75239 -71383583.5847204,-1055122954.74439 -38060490.5468468,-1047019236.11223 -47308828.445807,-1033483510.19397 -66429497.2734031,-1066644368.28696 -71858681.5342946)))","POLYGON ((-1066644372.53391 -71858692.3627551,-1067013853.01489 -71383585.3920277,-1055122958.44172 -38060471.1534773,-1047019228.24967 -47308822.2451203,-1033483492.78611 -66429504.5564809,-1066644372.53391 -71858692.3627551))","222"
"MULTIPOLYGON (((-446406595.736655 -77778384.2706376,-457506001.81527 -68920586.1722172,-462132233.636818 -44772747.7474621,-418468130.57821 -20386249.9147693,-408273854.830042 -28587513.0934172,-404561587.548074 -39668042.0253352,-434117324.116281 -73341034.371081,-446406595.736655 -77778384.2706376)))","POLYGON ((-446406597.601969 -77778395.5760667,-457506010.941326 -68920591.683266,-462132244.816787 -44772742.537571,-418468129.565399 -20386237.895184,-408273846.278817 -28587507.1384632,-404561576.2395 -39668044.3006291,-434117318.298852 -73341042.9024629,-446406597.601969 -77778395.5760667))","839"
"MULTIPOLYGON (((-90098255.9383091 -70087622.4250683,-97143993.3297046 -60593873.2407673,-96200791.1654847 -45754675.4192756,-87457612.2702695 -39554903.5560156,-87323288.1629123 -39500992.4595381,-75677958.0786966 -40941737.1321374,-70909077.8748127 -43464742.5228111,-90098255.9383091 -70087622.4250683)))","POLYGON ((-90098255.820416 -70087639.3637029,-97144003.54181 -60593876.2602888,-96200800.8426287 -45754670.0223638,-87457617.0911171 -39554894.715513,-87323289.4943798 -39500982.2185698,-75677955.0268509 -40941727.4334668,-70909063.0476484 -43464739.0539452,-90098255.820416 -70087639.3637029))","12"
"MULTIPOLYGON (((-825677026.152488 -73160447.0363862,-855060807.966845 -66558517.8164132,-868967464.994412 -46299096.5217932,-863736093.567113 -38407760.2402011,-827368663.000949 -41292630.217013,-825677026.152488 -73160447.0363862)))","POLYGON ((-825677015.466903 -73160459.6865131,-855060813.989528 -66558526.7125374,-868967477.056785 -46299096.6192076,-863736098.647653 -38407749.8057705,-827368653.479272 -41292620.9409127,-825677015.466903 -73160459.6865131))","1017"
"MULTIPOLYGON (((-197343389.363377 -61560393.7424357,-201799603.805616 -59200927.021013,-185887223.293278 -37430466.0533007,-178853854.550424 -33331121.9886546,-176945078.233958 -36978893.0187484,-180804058.405365 -57049733.3988366,-197343389.363377 -61560393.7424357)))","POLYGON ((-197343390.547644 -61560404.4306335,-201799618.698818 -59200930.4506335,-185887230.133806 -37430458.4656863,-178853850.542952 -33331108.0783681,-176945067.754373 -36978891.4770073,-180804049.761878 -57049741.4067772,-197343390.547644 -61560404.4306335))","100"
"MULTIPOLYGON (((-515209431.762344 -82347730.2914689,-528617053.3571 -59418613.5461906,-512328736.896424 -44867679.2871418,-486238779.259062 -34551283.5280348,-472668924.995922 -38128188.635023,-462132253.82163 -44772748.6813216,-457506022.147124 -68920586.3385525,-475526656.206393 -78565432.8632815,-515209431.762344 -82347730.2914689)))","POLYGON ((-515209437.171112 -82347740.8523171,-528617066.11682 -59418611.5357698,-512328742.230105 -44867670.642776,-486238779.883971 -34551273.0217435,-472668920.96141 -38128179.3569179,-462132244.816787 -44772742.537571,-457506010.941326 -68920591.683266,-475526653.258295 -78565442.6276089,-515209437.171112 -82347740.8523171))","675"
"MULTIPOLYGON (((-1030333526.34558 -67767253.5862992,-1033483486.26436 -66429496.4617596,-1047019211.07287 -47308829.2017974,-1020060663.35149 -42259487.7433584,-1018482153.96869 -47734865.1876439,-1030333526.34558 -67767253.5862992)))","POLYGON ((-1030333522.19658 -67767266.2127848,-1033483492.78611 -66429504.5564809,-1047019228.24967 -47308822.2451203,-1020060656.26019 -42259476.2412612,-1018482143.16442 -47734866.5647211,-1030333522.19658 -67767266.2127848))","234"
"MULTIPOLYGON (((-201799623.648131 -59200920.2755605,-203952981.644265 -59127291.6966945,-213303381.328708 -43440849.3859955,-210330284.263914 -40914165.6599456,-185887252.202181 -37430471.7119904,-201799623.648131 -59200920.2755605)))","POLYGON ((-201799618.698818 -59200930.4506335,-203952987.439881 -59127301.5043721,-213303394.248323 -43440847.242291,-210330288.536871 -40914156.1678868,-185887230.133806 -37430458.4656863,-201799618.698818 -59200930.4506335))","31"
"MULTIPOLYGON (((-719396078.731591 -67910802.3517313,-727627047.072465 -50745983.2374108,-703128170.633705 -28381590.6686692,-701721976.55392 -28567791.3283883,-681680265.571714 -51890009.4567399,-696295988.975929 -66815767.0057323,-719396078.731591 -67910802.3517313)))","POLYGON ((-719396084.881444 -67910812.6544879,-727627059.302093 -50745980.8614363,-703128173.936906 -28381580.1439899,-701721971.457302 -28567781.9159679,-681680252.007597 -51890009.8978124,-696295984.579081 -66815776.8085337,-719396084.881444 -67910812.6544879))","701"
"MULTIPOLYGON (((-15573997.0884099 -66889646.5119759,-23154923.4172512 -65270556.8742725,-45469437.0406427 -47220127.6325981,-38879438.4920618 -33928254.3155973,380403.4064474 -32841458.8931159,4064121.31540571 -43293148.2387749,2351508.01187674 -54749330.9679926,-15573997.0884099 -66889646.5119759)))","POLYGON ((-15573995.0093718 -66889657.181531,-23154927.8459616 -65270566.153941,-45469449.558749 -47220130.3686748,-38879444.7801306 -33928244.4858336,380410.415132284 -32841448.6952699,4064131.57300329 -43293147.25896,2351517.25312638 -54749336.7868332,-15573995.0093718 -66889657.181531))","298"
"MULTIPOLYGON (((-991206816.295023 -62158953.4641316,-995783668.890641 -51482037.3375849,-992001409.912395 -41760479.5033611,-984605306.200045 -36977100.7855587,-982806580.028214 -38043917.9149281,-969469226.458655 -53387374.3546755,-965278881.851926 -60166825.3388255,-966244600.68858 -61247448.8018175,-991206816.295023 -62158953.4641316)))","POLYGON ((-991206822.783971 -62158963.7077426,-995783679.692128 -51482037.5208735,-992001418.059096 -41760472.8630414,-984605306.427985 -36977089.0238354,-982806573.539388 -38043910.1368908,-969469218.379047 -53387368.4066942,-965278869.41911 -60166826.4337877,-966244596.069124 -61247458.639801,-991206822.783971 -62158963.7077426))","26"
"MULTIPOLYGON (((-965278866.041085 -60166812.8792346,-969469208.883116 -53387364.7501446,-971992235.061544 -39640324.6331168,-960202871.382035 -34625975.393788,-963099567.853334 -58893743.1297106,-965278866.041085 -60166812.8792346)))","POLYGON ((-965278869.41911 -60166826.4337877,-969469218.379047 -53387368.4066942,-971992246.342404 -39640318.5642439,-960202859.405913 -34625959.4330641,-963099558.513477 -58893749.2549221,-965278869.41911 -60166826.4337877))","665"
"MULTIPOLYGON (((-642319392.269259 -77468829.7982388,-651521729.834674 -54370197.0772481,-648888318.39123 -43208267.6423229,-633845384.56759 -28920732.1955321,-619670387.783371 -30532022.9530792,-606588805.572917 -49806829.945499,-625003918.664486 -73328485.1266343,-642319392.269259 -77468829.7982388)))","POLYGON ((-642319398.357429 -77468841.5358961,-651521740.291402 -54370197.8494609,-648888327.439478 -43208262.4445769,-633845388.072417 -28920721.7327352,-619670382.089056 -30532013.5359611,-606588793.20196 -49806830.3659517,-625003912.942989 -73328494.0404536,-642319398.357429 -77468841.5358961))","972"
"MULTIPOLYGON (((-963099547.20264 -58893738.8677794,-960202849.638957 -34625961.9801535,-957287310.379323 -27561428.2723617,-943585505.316008 -34384063.7624114,-942030249.29588 -53124759.1907154,-958058530.030417 -58723730.785106,-963099547.20264 -58893738.8677794)))","POLYGON ((-963099558.513477 -58893749.2549221,-960202859.405913 -34625959.4330641,-957287315.528898 -27561414.5370689,-943585495.816142 -34384057.3216171,-942030238.689906 -53124766.0784148,-958058528.170825 -58723740.7280766,-963099558.513477 -58893749.2549221))","894"
"MULTIPOLYGON (((-931308282.305332 -58442755.4689184,-942030229.19089 -53124759.6273758,-943585485.23316 -34384063.9322649,-941199862.115234 -33455187.1323314,-916394002.30616 -51801678.4395856,-931308282.305332 -58442755.4689184)))","POLYGON ((-931308282.534688 -58442766.517631,-942030238.689906 -53124766.0784148,-943585495.816142 -34384057.3216171,-941199860.603576 -33455175.8124613,-916393982.570526 -51801680.5982252,-931308282.534688 -58442766.517631))","33"
"MULTIPOLYGON (((34646154.1334426 -73976999.439605,28819206.8753507 -72791525.702393,2351528.07106627 -54749332.058721,4064140.19287951 -43293157.2343533,33368428.1299211 -43209364.8178452,34646154.1334426 -43530835.9073251,34646154.1334426 -73976999.439605)))","POLYGON ((34646164.1334426 -73977011.6789277,28819202.9075067 -72791535.1000026,2351517.25312638 -54749336.7868332,4064131.57300329 -43293147.25896,33368429.3545208 -43209354.8143027,34646164.1334426 -43530828.1116405,34646164.1334426 -73977011.6789277))","57"
"MULTIPOLYGON (((-969469234.813583 -53387334.2573379,-982806548.258753 -38043923.9771829,-971992254.88568 -39640327.4114583,-969469234.813583 -53387334.2573379)))","POLYGON ((-969469218.379047 -53387368.4066942,-982806573.539388 -38043910.1368908,-971992246.342404 -39640318.5642439,-969469218.379047 -53387368.4066942))","342"
"MULTIPOLYGON (((-651521748.056142 -54370187.2114647,-681188081.665565 -52049363.8164559,-681680246.254297 -51890001.2495614,-701721955.698622 -28567784.9108177,-690237518.063396 -22511352.6230815,-664849575.807113 -24017844.928099,-648888338.317791 -43208265.0037117,-651521748.056142 -54370187.2114647)))","POLYGON ((-651521740.291402 -54370197.8494609,-681188083.622705 -52049373.6939008,-681680252.007597 -51890009.8978124,-701721971.457302 -28567781.9159679,-690237520.258314 -22511342.4752474,-664849570.889514 -24017835.2023138,-648888327.439478 -43208262.4445769,-651521740.291402 -54370197.8494609))","752"
"MULTIPOLYGON (((-606588788.152054 -49806819.999341,-619670368.408208 -30532015.8864464,-609643884.152303 -23156510.9583107,-590973152.860601 -28004654.8890858,-598491080.758466 -49256000.9083113,-606588788.152054 -49806819.999341)))","POLYGON ((-606588793.20196 -49806830.3659517,-619670382.089056 -30532013.5359611,-609643886.244721 -23156500.0833502,-590973139.798264 -28004647.9492918,-598491073.522852 -49256010.4392412,-606588793.20196 -49806830.3659517))","659"
"MULTIPOLYGON (((-565679900.00532 -69565603.5053656,-598491061.407908 -49256006.1774978,-590973131.688158 -28004655.0082466,-589058990.642901 -27012039.0633981,-556806171.162314 -28198348.6303521,-555672844.441409 -29682999.8306984,-544382966.214539 -55703640.5462432,-565679900.00532 -69565603.5053656)))","POLYGON ((-565679899.870654 -69565615.3494263,-598491073.522852 -49256010.4392412,-590973139.798264 -28004647.9492918,-589058992.907862 -27012028.9733271,-556806166.077707 -28198338.8106098,-555672835.752941 -29682994.7319929,-544382953.677469 -55703644.3177023,-565679899.870654 -69565615.3494263))","510"
"MULTIPOLYGON (((-995783686.069455 -51482026.3327249,-1018482135.30505 -47734857.7268352,-1020060646.53197 -42259473.8858427,-1022841193.23796 -28138363.8666863,-1014719091.35698 -19880682.1513139,-1007107729.01242 -22852769.9609965,-992001429.467013 -41760474.6050424,-995783686.069455 -51482026.3327249)))","POLYGON ((-995783679.692128 -51482037.5208735,-1018482143.16442 -47734866.5647211,-1020060656.26019 -42259476.2412612,-1022841204.06958 -28138360.6184543,-1014719093.86223 -19880670.4377242,-1007107722.87501 -22852761.6221954,-992001418.059096 -41760472.8630414,-995783679.692128 -51482037.5208735))","931"
"MULTIPOLYGON (((-213303397.193264 -43440836.6216193,-221349498.409787 -42114029.7341508,-225078607.338672 -7289770.0529682,-220123523.008643 3653580.7447913,-199453212.633905 -6704577.06450362,-210330297.197834 -40914150.4049707,-213303397.193264 -43440836.6216193)))","POLYGON ((-213303394.248323 -43440847.242291,-221349507.542935 -42114038.3631384,-225078617.571839 -7289768.40943,-220123527.827862 3653594.34508497,-199453200.51508 -6704571.95208114,-210330288.536871 -40914156.1678868,-213303394.248323 -43440847.242291))","259"
"MULTIPOLYGON (((-131314154.547607 -53546915.6879061,-136641512.90248 -52974382.5578678,-140791654.326238 -25916688.6949838,-131464324.375635 -18255114.9603593,-114684139.827172 -23829035.2642276,-116817578.006353 -46105389.2747971,-131314154.547607 -53546915.6879061)))","POLYGON ((-131314152.641999 -53546925.9502861,-136641521.620488 -52974391.6785239,-140791665.074002 -25916684.5822341,-131464326.459421 -18255103.7309211,-114684129.113091 -23829028.2858923,-116817568.573377 -46105395.6731535,-131314152.641999 -53546925.9502861))","429"
"MULTIPOLYGON (((-116817557.551811 -46105385.4842114,-114684119.676132 -23829034.6426606,-112280098.139556 -22575343.5347827,-87457634.5873694 -39554894.8631163,-96200804.1045184 -45754660.0764071,-116817557.551811 -46105385.4842114)))","POLYGON ((-116817568.573377 -46105395.6731535,-114684129.113091 -23829028.2858923,-112280097.444748 -22575331.8943237,-87457617.0911171 -39554894.715513,-96200800.8426287 -45754670.0223638,-116817568.573377 -46105395.6731535))","844"
"MULTIPOLYGON (((-971992247.666382 -39640308.2604278,-982806570.131433 -38043900.5316015,-984605293.831196 -36977084.8684059,-975913700.599121 -16315348.8421452,-967074429.488394 -7445535.74389431,-957287326.485934 -27561414.8736183,-960202867.087662 -34625951.8333877,-971992247.666382 -39640308.2604278)))","POLYGON ((-971992246.342404 -39640318.5642439,-982806573.539388 -38043910.1368908,-984605306.427985 -36977089.0238354,-975913709.060013 -16315343.1656824,-967074426.647262 -7445518.72635636,-957287315.528898 -27561414.5370689,-960202859.405913 -34625959.4330641,-971992246.342404 -39640318.5642439))","903"
"MULTIPOLYGON (((-1047019224.48623 -47308811.3663319,-1055122949.28553 -38060466.4291363,-1056730264.53663 -31292187.4917698,-1054740504.92488 -26122795.8795495,-1022841212.39215 -28138370.1125305,-1020060668.02175 -42259468.2703081,-1047019224.48623 -47308811.3663319)))","POLYGON ((-1047019228.24967 -47308822.2451203,-1055122958.44172 -38060471.1534773,-1056730274.98152 -31292186.7894794,-1054740511.62045 -26122785.4365438,-1022841204.06958 -28138360.6184543,-1020060656.26019 -42259476.2412612,-1047019228.24967 -47308822.2451203))","337"
"MULTIPOLYGON (((-243640922.578429 -54349204.0515573,-258073118.606854 -38849930.2878708,-225078625.350422 -7289789.68801188,-221349518.19553 -42114032.8027802,-243640922.578429 -54349204.0515573)))","POLYGON ((-243640924.591588 -54349216.563818,-258073132.649166 -38849929.8815755,-225078617.571839 -7289768.40943,-221349507.542935 -42114038.3631384,-243640924.591588 -54349216.563818))","941"
"MULTIPOLYGON (((-892539411.542544 -56983382.475916,-893776263.541272 -56667740.6476502,-905154240.924527 -48431508.9678989,-914398896.979929 -16366785.2616014,-912619737.778802 -522282.797256503,-906371528.156829 1854934.99015673,-866797253.959463 -13530080.7156281,-865115620.676114 -22132887.520823,-863736108.905932 -38407747.1817729,-868967483.803326 -46299088.6978797,-892539411.542544 -56983382.475916)))","POLYGON ((-892539410.612648 -56983393.0337169,-893776267.86093 -56667749.8657769,-905154249.578793 -48431515.0483116,-914398907.139333 -16366786.1215045,-912619747.035708 -522275.619862586,-906371528.118099 1854945.70420387,-866797245.20196 -13530073.3911178,-865115610.757702 -22132886.1352279,-863736098.647653 -38407749.8057705,-868967477.056785 -46299096.6192076,-892539410.612648 -56983393.0337169))","874"
"MULTIPOLYGON (((4064138.64427855 -43293137.2386996,380421.246868017 -32841449.3444379,2938436.85868411 -27659917.4196481,26806598.4054761 -37364064.9662054,33368403.1787508 -43209344.8891086,4064138.64427855 -43293137.2386996)))","POLYGON ((4064131.57300329 -43293147.25896,380410.415132284 -32841448.6952699,2938432.00908852 -27659904.6530207,26806603.7693753 -37364056.3521082,33368429.3545208 -43209354.8143027,4064131.57300329 -43293147.25896))","113"
"MULTIPOLYGON (((34646154.1334426 -43530815.2840306,33368434.1739755 -43209345.7152123,26806611.0509015 -37364049.4462402,12763277.7515647 -19810811.1011074,34646154.1334426 -17507092.9923922,34646154.1334426 -43530815.2840306)))","POLYGON ((34646164.1334426 -43530828.1116405,33368429.3545208 -43209354.8143027,26806603.7693753 -37364056.3521082,12763258.52017 -19810803.0704296,34646164.1334426 -17507081.8843816,34646164.1334426 -43530828.1116405))","808"
